1_graph	8_frantfreqparm
cuivrait	0.03
cuivre	25.35
cuivres	3.32
cuivreux	0.23
cuivrique	0.03
cuivré	0.97
cuivrée	0.81
cuivrées	0.26
cuivrés	0.39
cul	36.87
culait	0.03
culasse	3.61
culasses	0.84
culbuta	0.19
culbutages	0.03
culbutaient	0.06
culbutait	0.32
culbutant	0.29
culbute	0.87
culbutent	0.10
culbuter	0.81
culbutes	0.19
culbuteur	0.39
culbuteurs	0.84
culbutèrent	0.13
culbuté	0.55
culbutée	0.23
culbutées	0.26
culbutés	0.16
culex	0.06
culinaire	1.23
culinairement	0.03
culinaires	1.00
culmina	0.13
culminaient	0.03
culminait	0.23
culminance	0.03
culminant	2.29
culminante	0.10
culminants	0.19
culmination	0.52
culminations	0.03
culmine	0.65
culminent	0.06
culminer	0.29
culminera	0.03
culminerait	0.03
culminèrent	0.03
culminé	0.10
culons	0.03
culot	3.48
culots	0.23
culotte	16.35
culotter	0.03
culottes	8.97
culottier	0.03
culottiers	0.03
culottière	0.16
culottières	0.06
culotté	0.35
culottée	0.23
culottées	0.06
culottés	0.23
culpabilisait	0.06
culpabilisant	0.06
culpabilisation	0.23
culpabilise	0.16
culpabiliser	0.19
culpabilisé	0.06
culpabilisée	0.06
culpabilisées	0.03
culpabilité	6.16
culs	4.00
culte	22.48
cultes	4.00
cultiva	0.13
cultivable	0.26
cultivables	0.71
cultivai	0.03
cultivaient	0.35
cultivais	0.10
cultivait	1.26
cultivant	0.77
cultivar	0.06
cultivars	0.13
cultivateur	2.23
cultivateurs	3.10
cultivatrice	0.03
cultivatrices	0.06
cultive	2.52
cultivent	1.13
cultiver	4.68
cultiverai	0.06
cultiverait	0.10
cultiveras	0.03
cultiveront	0.03
cultives	0.03
cultivez	0.03
cultiviez	0.03
cultivions	0.03
cultivons	0.10
cultivèrent	0.06
cultivé	5.42
cultivée	3.35
cultivées	3.55
cultivés	3.13
cultuel	0.29
cultuelle	0.32
cultuellement	0.03
cultuelles	0.29
cultuels	0.35
cultural	0.97
culturale	0.35
culturales	1.48
culturalisent	0.03
culturalisme	0.68
culturalismes	0.03
culturaliste	0.10
culturalistes	0.13
culturaux	0.35
culture	80.94
culturel	16.23
culturelle	11.10
culturellement	0.58
culturelles	8.26
culturels	10.48
cultures	17.77
culturisme	0.03
culturiste	0.16
culturistes	0.16
culé	0.03
culée	0.06
culées	0.06
cumin	0.45
cumul	1.55
cumulable	0.03
cumulables	0.10
cumulaient	0.10
cumulait	0.23
cumulant	0.23
cumulards	0.03
cumulatif	0.77
cumulatifs	0.61
cumulation	0.13
cumulative	0.45
cumulativement	0.32
cumulatives	0.19
cumule	0.71
cumulent	0.13
cumuler	0.71
cumulez	0.03
cumuliez	0.03
cumuls	0.61
cumulus	0.58
cumulé	0.29
cumulée	0.10
cumulées	0.16
cumulés	0.06
cunnilinctus	0.03
cunnilingus	0.03
cunéiforme	0.19
cunéiformes	0.10
cupide	0.58
cupidement	0.03
cupides	0.23
cupidité	1.32
cupidon	1.03
cupidons	0.06
cupressus	0.16
cuprifères	0.10
cupriques	0.19
cuprite	0.06
cupule	0.13
cupules	0.10
cupulifères	0.03
cura	0.10
curable	0.23
curables	0.29
curage	0.19
curaille	0.03
curait	0.29
curant	0.10
curare	0.65
curarisant	0.03
curarisantes	0.03
curateur	0.10
curatif	0.58
curatifs	0.13
curative	0.35
curatives	0.45
curaçao	0.55
curaçaos	0.03
curcuma	0.03
cure	10.23
curer	0.48
cures	1.87
curetage	0.06
cureton	0.87
curetonne	0.03
curetons	0.39
curette	0.06
curial	0.10
curiale	0.03
curiales	0.03
curie	8.35
curiethérapie	0.06
curieuse	13.84
curieusement	9.06
curieuses	4.42
curieux	39.74
curiosité	36.26
curiosités	4.81
curiste	0.03
curistes	0.55
curium	0.13
curling	0.13
curriculum	0.68
curry	0.13
curseur	0.13
curseurs	0.10
cursif	0.23
cursifs	0.13
cursive	0.90
cursivement	0.03
cursives	0.39
cursus	0.65
curule	0.06
curules	0.06
curures	0.03
curve	0.03
curves	0.06
curvigraphe	0.03
curviligne	0.29
curvilignes	0.26
curvimètres	0.03
curé	29.68
curée	0.77
curées	0.03
curés	4.16
cuscute	0.19
cuspides	0.06
custode	0.19
cutané	0.84
cutanée	1.71
cutanées	2.48
cutanés	1.29
cuti	0.71
cuticule	0.10
cutis	0.03
cutter	0.03
cuvaient	0.03
cuvait	0.10
cuvant	0.19
cuve	3.55
cuveau	0.19
cuveaux	0.03
cuvelage	0.13
cuvelés	0.06
cuvent	0.03
cuver	0.84
cuves	1.81
cuvette	7.10
cuvettes	0.90
cuvier	11.71
cuviers	0.03
cuvions	0.03
cuvé	0.03
cuvée	0.35
cuvées	0.03
cv	5.55
cyanamide	0.71
cyanique	0.10
cyanite	0.03
cyanocobalamine	0.19
cyanogène	0.06
cyanophycées	0.19
cyanose	0.23
cyanoses	0.13
cyanosé	0.10
cyanosée	0.03
cyanure	0.68
cyanures	0.03
cybernéticien	0.52
cybernéticienne	0.03
cybernéticiens	1.45
cybernétique	9.74
cybernétiques	0.42
cybernétisation	0.06
cybernétisée	0.03
cycadales	0.06
cycadées	0.10
cyclable	0.10
cyclables	0.10
cyclamen	0.16
cyclamens	0.03
cycle	28.48
cyclent	0.03
cycler	0.03
cycles	7.45
cyclique	2.90
cycliquement	0.03
cycliques	2.23
cyclisant	0.03
cyclisation	0.06
cyclisme	0.97
cycliste	4.06
cyclistes	2.94
cyclisés	0.03
cyclites	0.03
cyclo	0.19
cyclohexane	0.03
cyclomoteur	0.03
cyclomoteurs	0.10
cyclone	2.39
cyclones	3.39
cyclonique	0.32
cycloniques	0.94
cyclope	1.35
cyclopes	0.23
cyclopousses	0.03
cyclopéen	0.16
cyclopéenne	0.16
cyclopéennes	0.13
cyclopéens	0.10
cyclorama	0.06
cyclos	0.10
cyclostomes	0.10
cyclothyme	0.29
cyclothymes	0.10
cyclothymie	0.06
cyclothymique	0.16
cyclotourisme	0.06
cyclotouristes	0.03
cyclotron	0.84
cyclotrons	0.19
cycloïdal	0.06
cycloïde	0.29
cycloïdes	0.03
cyclées	0.03
cygne	3.71
cygnes	2.23
cylindraxe	0.32
cylindraxes	0.16
cylindre	13.97
cylindres	10.71
cylindrique	2.97
cylindriques	1.81
cylindré	0.06
cylindrée	1.65
cylindrées	0.16
cylindrés	0.03
cymbale	0.13
cymbales	1.06
cymbaliste	0.03
cymbalistes	0.10
cymbalum	0.13
cymes	0.03
cymophane	0.03
cynique	4.23
cyniquement	0.68
cyniques	1.48
cynisme	4.71
cynismes	0.03
cynocéphale	0.06
cynocéphales	0.13
cynos	0.03
cynthia	0.16
cynégétique	0.19
cynégétiques	0.06
cyon	0.19
cyphose	0.10
cyprien	2.06
cyprin	0.77
cyprinidés	0.03
cyprins	0.10
cypriote	0.13
cypriotes	0.26
cyprès	5.13
cyrard	0.10
cyrards	0.03
cyrillique	0.19
cyrilliques	0.16
cyrénaïque	1.71
cyrénaïques	0.06
cysticerques	0.03
cystine	0.03
cystinurie	0.03
cystique	0.26
cystoscope	0.03
cystoïde	0.03
cystoïdes	0.03
cystéine	0.10
cytise	0.03
cytises	0.16
cytochrome	0.35
cytochromes	0.29
cytogénétique	0.16
cytologie	0.81
cytologique	0.65
cytologiquement	0.03
cytologiques	0.58
cytologiste	0.16
cytologistes	0.06
cytoplasme	3.03
cytoplasmes	0.03
cytoplasmique	0.61
cytoplasmiques	0.48
cytosine	0.48
czar	0.19
czardas	0.06
czarine	0.03
czars	0.16
câbla	0.06
câblage	0.16
câblages	0.03
câblait	0.03
câble	4.16
câbler	0.10
câblerais	0.03
câblerie	0.03
câbleront	0.03
câbles	4.77
câbleur	0.06
câbleurs	0.03
câblez	0.03
câblier	0.03
câbliers	0.10
câblogrammes	0.03
câblot	0.03
câblots	0.03
câblé	0.42
câblée	0.03
câblés	0.06
câlin	0.97
câlina	0.03
câlinait	0.10
câlinant	0.03
câline	1.13
câlinement	0.10
câlinent	0.10
câliner	0.26
câlinerie	0.10
câlineries	0.23
câlines	0.13
câlins	0.48
câliné	0.06
câlinée	0.03
câpres	0.65
câprier	0.10
câpriers	0.03
cède	7.35
cèdent	2.74
cèdre	1.84
cèdres	1.03
cèlent	0.03
cèlerai	0.03
cène	0.77
cèpe	0.13
cèpes	0.55
céans	0.52
cécidomyies	0.06
cécité	2.97
cécités	0.03
céda	3.23
cédai	0.35
cédaient	0.97
cédais	0.26
cédait	4.03
cédant	2.68
cédants	0.03
céder	15.61
cédera	0.81
céderai	0.13
céderaient	0.13
céderais	0.10
céderait	0.52
céderas	0.10
céderez	0.06
céderiez	0.03
céderons	0.06
céderont	0.16
cédez	0.23
cédiez	0.10
cédilles	0.03
cédions	0.10
cédons	0.35
cédrat	0.35
cédratier	0.03
cédrats	0.06
cédulaire	0.06
cédât	0.06
cédèrent	0.68
cédé	8.45
cédée	0.52
cédées	0.35
cédés	0.55
cégétiste	0.03
cégétistes	0.06
céladon	0.39
céleri	0.90
céleris	0.35
célesta	0.03
céleste	12.68
célestes	3.26
célestin	1.10
célestins	0.13
célibat	1.42
célibataire	3.71
célibataires	3.10
célibats	0.03
célimène	0.06
célimènes	0.06
célèbre	33.19
célèbrent	0.97
célèbres	11.45
célébra	0.55
célébraient	0.55
célébrais	0.03
célébrait	1.19
célébrant	1.06
célébrants	0.10
célébration	2.29
célébrations	0.71
célébrer	4.68
célébrera	0.03
célébrerai	0.03
célébrerais	0.03
célébrerait	0.10
célébrerez	0.06
célébriez	0.03
célébrions	0.03
célébrissime	0.03
célébrité	3.16
célébrités	0.90
célébrons	0.29
célébrâmes	0.03
célébrât	0.06
célébrèrent	0.19
célébré	2.13
célébrée	1.32
célébrées	0.61
célébrés	0.35
célérifère	0.06
célérité	1.16
cément	0.03
cémentation	0.03
cémenté	0.10
cénacle	0.19
cénacles	0.13
cénesthésie	0.10
cénesthésique	0.06
cénesthésiques	0.03
cénobite	0.03
cénobites	0.13
cénobitisme	0.03
cénomanien	0.10
cénotaphe	0.23
cénotaphes	0.06
cépage	1.48
cépages	2.71
céphaline	0.06
céphalique	0.55
céphaliques	0.06
céphalisation	0.26
céphalocordés	0.06
céphalomètre	0.06
céphalométriques	0.03
céphalon	0.03
céphalopodes	0.39
céphalée	0.48
céphalées	0.90
céphéide	0.06
céphéides	1.74
cépée	0.16
cépées	0.06
cérame	0.06
cérames	0.03
céramique	5.52
céramiques	1.23
céramiste	0.90
céramistes	1.06
céramographie	0.03
cératite	0.03
céraunies	0.16
cérifères	0.03
cérium	0.06
céruléen	0.26
céruléenne	0.03
céruléens	0.13
cérumen	0.19
cérusage	0.03
céruse	0.35
cérusite	0.03
cérusé	0.10
céréale	0.29
céréales	6.29
céréaliculture	0.13
céréalier	0.13
céréaliers	0.23
céréalière	0.32
céréalières	0.48
cérébelleuse	0.16
cérébelleuses	0.06
cérébelleux	0.39
cérébral	3.58
cérébrale	5.39
cérébralement	0.10
cérébrales	2.35
cérébralisation	0.10
cérébralité	0.13
cérébration	0.03
cérébraux	2.74
cérémoniaires	0.03
cérémonial	3.58
cérémoniale	0.03
cérémonials	0.13
cérémonie	16.10
cérémoniel	0.13
cérémonielle	0.29
cérémonielles	0.29
cérémoniels	0.16
cérémonies	8.71
cérémonieuse	0.68
cérémonieusement	1.13
cérémonieuses	0.19
cérémonieux	1.23
césar	27.19
césarien	0.13
césarienne	0.48
césariennes	0.03
césariens	0.03
césarisme	0.16
césars	0.94
césium	0.42
césure	0.74
césures	0.23
cétacé	0.06
cétacées	0.03
cétacés	0.45
cétoine	0.10
cétoines	0.06
cétones	0.13
cévadille	0.03
cévenol	0.03
cévenole	0.06
cévenols	0.06
cézigue	1.68
côlon	2.13
côlons	0.06
cône	3.90
cônes	2.10
côte	68.45
côtelette	1.00
côtelettes	0.94
côtelé	0.58
côtelée	0.03
côtes	20.26
côtier	0.45
côtiers	0.32
côtière	1.26
côtières	1.45
côtoie	0.68
côtoiements	0.03
côtoient	0.52
côtoiera	0.03
côtoies	0.06
côtoya	0.06
côtoyaient	0.61
côtoyais	0.10
côtoyait	0.65
côtoyant	0.23
côtoyer	0.58
côtoyons	0.16
côtoyé	0.68
côtoyées	0.10
côtoyés	0.26
côté	338.19
côtés	48.84
d	82.16
d'	12502.19
da	4.90
dab	0.74
dabe	0.71
dabs	0.03
dabuche	0.26
dabuches	0.03
dace	0.03
daces	0.42
dacique	0.06
dacron	0.13
dactyle	0.13
dactyles	0.19
dactylite	0.06
dactylo	1.68
dactylographe	0.42
dactylographes	0.68
dactylographie	1.06
dactylographier	0.19
dactylographié	0.29
dactylographiée	0.29
dactylographiées	0.39
dactylographiés	0.19
dactylos	0.94
dada	2.81
dadais	0.74
dadas	0.32
dadaïsme	0.10
dadaïstes	0.10
dague	0.94
daguerréotype	0.29
daguerréotypes	0.10
daguerréotypie	0.16
dagues	0.35
daguet	0.19
daguets	0.03
dagué	0.03
dahabiehs	0.03
dahlia	0.16
dahlias	1.10
dahoméenne	0.03
dahoméens	0.03
dahu	0.06
daigna	0.94
daignaient	0.19
daignait	0.74
daignant	0.10
daigne	1.39
daignent	0.23
daigner	0.23
daignera	0.13
daigneraient	0.03
daignerais	0.03
daignes	0.03
daignez	0.42
daignât	0.19
daignèrent	0.03
daigné	0.77
daille	0.03
daim	2.58
daims	0.32
daine	0.06
dais	1.71
dal	0.42
dale	0.68
daleau	0.19
dales	0.03
dallage	1.90
dallages	0.19
dallas	0.55
dalle	8.81
dalles	9.16
dallé	0.55
dallée	0.52
dallées	0.35
dallés	0.26
dalmate	0.16
dalmates	0.13
dalmatiens	0.10
dalmatique	0.26
dalmatiques	0.06
dalton	1.65
daltonien	0.06
daltoniens	0.13
daltonisme	0.06
daltons	0.03
dam	1.19
dama	0.03
damage	0.03
damas	8.32
damascène	0.29
damasquin	0.03
damasquine	0.03
damasquinerie	0.03
damasquins	0.06
damasquinure	0.03
damasquiné	0.06
damasquinée	0.03
damasquinés	0.10
damassé	0.16
damassée	0.42
damassées	0.13
damassés	0.10
dame	70.81
dament	0.03
damer	0.06
dameret	0.03
dames	31.03
damier	2.19
damiers	0.55
damnables	0.10
damnait	0.03
damnant	0.03
damnation	2.23
damnations	0.13
damne	0.39
damnent	0.10
damner	0.42
damnera	0.03
damnerais	0.19
damné	1.32
damnée	0.87
damnées	0.32
damnés	2.19
damoclès	0.26
damoiseau	0.06
damoiselle	0.13
damoiselles	0.03
dams	0.13
damée	0.03
damées	0.03
dan	1.35
danaïde	0.03
danaïdes	0.19
dancing	1.19
dancings	0.55
dandin	0.06
dandina	0.16
dandinaient	0.19
dandinais	0.03
dandinait	0.84
dandinant	1.32
dandinante	0.06
dandinants	0.06
dandine	0.45
dandinement	0.35
dandinements	0.10
dandinent	0.10
dandiner	0.42
dandinez	0.03
dandinée	0.03
dandinés	0.03
dandy	2.16
dandys	0.32
dandysme	0.58
danger	40.71
dangereuse	11.23
dangereusement	4.71
dangereuses	5.45
dangereux	26.58
dangerosité	0.06
dangers	11.74
danois	4.48
danoise	0.94
danoises	0.58
dans	7480.90
dansa	0.84
dansai	0.06
dansaient	4.90
dansais	0.81
dansait	7.03
dansant	5.19
dansante	1.52
dansantes	1.06
dansants	0.65
danse	49.71
dansent	5.29
danser	21.26
dansera	0.16
danserai	0.10
danseraient	0.13
danserais	0.06
danserait	0.23
danseras	0.13
danserez	0.03
danserons	0.13
danseront	0.19
danses	14.19
danseur	6.94
danseurs	7.87
danseuse	6.58
danseuses	5.74
dansez	0.55
dansiez	0.06
dansions	0.32
dansons	0.52
dansota	0.03
dansotait	0.06
dansotter	0.03
dansâmes	0.06
dansèrent	0.71
dansé	3.16
dansée	0.35
dansées	0.10
dansés	0.45
dantesque	0.19
dantesques	0.06
danubien	0.10
danubienne	0.13
danubiennes	0.10
danubiens	0.06
daphnies	0.06
daphné	0.06
dard	1.35
darda	0.10
dardaient	0.06
dardait	0.32
dardant	0.65
dardantes	0.03
darde	0.29
dardent	0.03
darder	0.06
dardillon	0.03
dards	0.68
dardé	0.32
dardée	0.35
dardées	0.19
dardés	0.10
dargif	0.03
darioles	0.06
darique	0.06
dariques	0.16
darne	0.06
daron	0.42
daronne	0.48
daronnes	0.06
darons	0.26
darse	0.32
darses	0.26
dartres	0.13
dartreuses	0.03
daru	5.35
darwinien	0.10
darwinienne	0.32
darwiniennes	0.06
darwinisme	0.87
darwiniste	0.13
darwinistes	0.06
dasein	0.13
dasyures	0.03
data	0.23
datable	0.03
datables	0.10
datages	0.03
dataient	0.68
datait	2.03
datant	2.97
datation	0.39
datcha	0.32
datchas	0.19
date	61.52
datent	3.42
dater	4.03
datera	0.06
daterai	0.03
dateraient	0.03
daterais	0.03
daterait	0.16
dates	11.71
dateur	0.03
datif	0.10
datte	0.16
dattes	2.03
dattier	0.45
dattiers	0.52
datura	0.19
daturas	0.10
datât	0.03
daté	2.71
datée	1.65
datées	0.55
datés	0.90
daubait	0.03
daubant	0.03
daube	0.39
dauber	0.10
daubes	0.06
daubé	0.03
dauffer	0.06
dauphin	2.06
dauphinat	0.10
dauphine	5.03
dauphines	0.06
dauphinois	0.35
dauphinoise	0.10
dauphins	1.42
daurade	0.35
daurades	0.10
davantage	83.29
davier	0.10
dayas	0.03
daïmios	0.16
daïquiri	0.06
dc	1.61
de	37524.35
dealer	0.87
dealers	0.26
deb	0.13
debater	0.03
debout	88.58
debs	0.03
decauville	0.06
deck	0.16
decrescendo	0.16
dedans	49.61
degré	67.48
degrés	22.00
dehors	127.77
delco	0.19
deleatur	0.03
delirium	0.48
delphinium	0.03
delta	2.13
deltas	0.29
deltaïques	0.03
deltoïde	0.03
deltoïdes	0.10
delà	84.45
demain	97.81
demains	0.10
demanda	133.06
demandai	15.61
demandaient	6.45
demandais	15.29
demandait	42.81
demandant	14.26
demande	200.74
demandent	12.16
demander	102.48
demandera	3.84
demanderai	2.35
demanderaient	0.81
demanderais	1.03
demanderait	3.65
demanderas	0.61
demanderez	0.68
demanderiez	0.06
demanderions	0.03
demanderons	0.71
demanderont	0.87
demandes	19.42
demandeur	1.58
demandeurs	1.16
demandeuses	0.03
demandez	7.74
demandiez	0.71
demandions	1.10
demandons	3.03
demandâmes	0.06
demandât	0.97
demandèrent	2.03
demandé	76.19
demandée	4.03
demandées	2.74
demandés	2.42
demeura	11.81
demeurai	1.77
demeuraient	5.26
demeurais	1.10
demeurait	15.19
demeurant	12.35
demeurante	0.03
demeuras	0.03
demeurassent	0.16
demeure	48.61
demeurent	11.06
demeurer	12.77
demeurera	1.71
demeurerai	0.13
demeureraient	0.32
demeurerais	0.13
demeurerait	1.19
demeurerez	0.03
demeurerions	0.03
demeurerons	0.06
demeureront	0.77
demeures	6.06
demeurez	0.42
demeuriez	0.13
demeurions	0.35
demeurons	0.74
demeurâmes	0.32
demeurât	1.00
demeurèrent	3.00
demeuré	5.19
demeurée	3.19
demeurées	1.19
demeurés	2.48
demi	153.35
demie	16.61
demies	0.10
demis	1.29
demoiselle	7.19
demoiselles	4.45
denché	0.06
dendrite	0.16
dendrites	0.45
dendritiques	0.06
dendrochronologie	0.03
dengue	0.03
denier	0.65
deniers	3.84
denim	0.03
denims	0.03
denrée	0.90
denrées	6.61
dense	9.45
denses	2.61
densifia	0.03
densification	0.10
densifie	0.10
densifier	0.06
densifié	0.03
densifiée	0.03
densifiés	0.03
densimètre	0.10
densimétriques	0.03
densité	22.26
densités	2.65
densément	0.16
dent	9.00
dentaire	2.32
dentaires	1.55
dental	0.03
dentale	0.13
dentales	0.26
dentalium	0.03
dentelle	10.35
dentelles	5.77
dentellière	1.26
dentellières	0.06
dentelure	0.32
dentelures	0.13
dentelé	0.68
dentelée	0.68
dentelées	0.55
dentelés	0.35
denticules	0.13
denticulées	0.03
dentier	1.26
dentiers	0.13
dentifrice	1.29
dentifrices	0.19
dentine	0.13
dentiste	3.23
dentisterie	0.26
dentistes	0.58
dentition	0.52
dentitions	0.03
dents	70.87
denture	1.10
dentures	0.29
denté	0.16
dentée	1.16
dentées	0.42
dentés	0.10
depuis	519.06
der	16.87
derby	0.06
derbys	0.03
derche	1.42
derches	0.26
derechef	2.45
dermatite	0.03
dermatoglyphes	0.10
dermatologie	0.26
dermatologique	0.29
dermatologiques	0.03
dermatologiste	0.06
dermatologistes	0.03
dermatologue	0.06
dermatologues	0.03
dermatomycoses	0.13
dermatose	0.29
dermatoses	0.35
derme	0.74
dermiques	0.06
dermites	0.03
dermographie	0.03
dermographiques	0.03
dernier	174.29
derniers	67.32
dernière	137.42
dernièrement	1.48
dernières	66.13
derny	0.19
derrick	0.06
derricks	0.23
derrière	258.55
derrières	0.65
ders	0.16
derviche	0.68
derviches	0.35
des	12299.45
descella	0.03
descellant	0.03
desceller	0.26
descellez	0.06
descellé	0.26
descellée	0.06
descellées	0.06
descellés	0.10
descend	23.52
descendaient	5.55
descendais	1.84
descendait	17.68
descendance	3.23
descendances	0.16
descendant	13.81
descendante	1.84
descendantes	0.39
descendants	4.87
descende	1.52
descendent	7.32
descendes	0.06
descendeur	0.06
descendeurs	0.03
descendez	1.26
descendiez	0.10
descendions	1.45
descendirent	5.03
descendis	2.39
descendit	17.19
descendons	2.16
descendra	1.13
descendrai	0.68
descendraient	0.23
descendrais	0.26
descendrait	0.84
descendras	0.10
descendre	41.19
descendrez	0.10
descendrions	0.10
descendrons	0.29
descendront	0.13
descends	6.65
descendu	14.19
descendue	4.42
descendues	0.81
descendus	4.48
descendîmes	0.94
descendît	0.19
descente	13.87
descentes	1.87
descripteur	0.06
descripteurs	0.06
descriptible	0.16
descriptibles	0.10
descriptif	2.10
descriptifs	1.13
description	27.48
descriptions	6.45
descriptive	3.55
descriptives	0.68
desdits	0.71
desiderata	0.35
design	0.68
designs	0.13
desk	0.65
desks	0.19
desmidiées	0.06
desmodromiques	0.03
desmosome	0.10
desperado	0.10
desperados	0.13
despote	0.58
despotes	0.74
despotique	0.61
despotiquement	0.06
despotiques	0.13
despotisme	2.35
desquamants	0.03
desquamation	0.42
desquamations	0.03
desquame	0.03
desquamer	0.03
desquamées	0.03
desquelles	11.61
desquels	13.90
dessaisi	0.16
dessaisie	0.10
dessaisir	0.39
dessaisis	0.10
dessaisissais	0.03
dessaisissant	0.03
dessaisisse	0.03
dessaisissement	0.13
dessaisissent	0.13
dessaisit	0.06
dessaisonnée	0.03
dessalaient	0.03
dessalait	0.03
dessalant	0.03
dessale	0.10
dessaler	0.06
dessalé	0.13
dessalée	0.10
dessalées	0.10
dessalés	0.10
dessaoule	0.19
dessaoulent	0.03
dessaouler	0.06
dessaoulé	0.19
dessaoulée	0.03
dessaoulés	0.03
dessein	12.13
desseins	4.03
desselle	0.03
desseller	0.19
dessellées	0.03
dessellés	0.03
desserra	0.87
desserrage	1.03
desserrai	0.13
desserraient	0.10
desserrais	0.03
desserrait	0.48
desserrant	0.26
desserre	0.61
desserrement	0.23
desserrent	0.29
desserrer	1.90
desserrera	0.06
desserreraient	0.03
desserrerait	0.03
desserrerez	0.03
desserrez	0.03
desserrons	0.03
desserrât	0.03
desserrèrent	0.06
desserré	1.06
desserrée	0.29
desserrées	0.19
desserrés	0.29
dessers	0.03
dessert	6.90
desserte	1.48
dessertes	0.26
dessertie	0.03
desserties	0.03
dessertir	0.03
desserts	0.58
desservaient	0.35
desservait	0.65
desservant	1.06
desservants	0.19
desserve	0.03
desservent	0.71
desservi	1.03
desservie	0.74
desservies	0.55
desservir	1.48
desservira	0.06
desserviraient	0.03
desservirait	0.03
desserviront	0.03
desservis	0.74
desservit	0.03
dessiccation	0.84
dessille	0.06
dessillent	0.06
dessiller	0.19
dessilleront	0.03
dessillé	0.03
dessillés	0.16
dessin	33.94
dessina	2.03
dessinai	0.32
dessinaient	2.61
dessinais	0.42
dessinait	5.90
dessinant	2.94
dessinateur	3.94
dessinateurs	2.55
dessinatrice	0.19
dessine	10.97
dessinent	4.10
dessiner	9.74
dessinera	0.06
dessinerai	0.10
dessineraient	0.06
dessinerais	0.06
dessinerait	0.03
dessinerez	0.03
dessinerons	0.03
dessineront	0.10
dessines	0.03
dessinez	0.16
dessinions	0.06
dessins	19.06
dessinât	0.10
dessinèrent	0.19
dessiné	6.74
dessinée	4.77
dessinées	3.74
dessinés	2.52
dessoucha	0.03
dessouchée	0.03
dessouda	0.03
dessoudent	0.03
dessouder	0.06
dessoudé	0.10
dessoudée	0.03
dessoudées	0.03
dessoulait	0.03
dessoule	0.03
dessoulé	0.06
dessous	67.06
dessoûla	0.03
dessoûlait	0.06
dessoûle	0.13
dessoûler	0.06
dessoûlé	0.06
dessoûlée	0.06
dessuintée	0.03
dessus	258.42
dessèche	0.94
dessèchement	0.35
dessèchements	0.06
dessèchent	0.35
desséchaient	0.19
desséchais	0.03
desséchait	0.74
desséchant	0.42
desséchante	0.13
desséchants	0.16
desséchement	0.13
desséchements	0.03
dessécher	0.84
dessécherait	0.06
dessécheront	0.03
desséchez	0.06
desséchèrent	0.03
desséché	2.61
desséchée	2.68
desséchées	1.45
desséchés	1.52
destin	50.35
destina	0.06
destinaient	0.29
destinais	0.16
destinait	1.26
destinal	0.10
destinant	0.32
destinataire	2.74
destinataires	1.03
destination	11.03
destinations	0.58
destine	1.10
destinent	0.97
destiner	0.16
destinerait	0.03
destines	0.03
destinez	0.13
destins	3.10
destiné	18.42
destinée	25.39
destinées	16.61
destinés	17.19
destitua	0.06
destituait	0.06
destitue	0.06
destituer	0.13
destituerait	0.03
destitueront	0.03
destituez	0.03
destitution	0.52
destitutions	0.16
destitué	0.48
destituée	0.03
destitués	0.16
destrier	0.23
destriers	0.19
destroyer	0.35
destroyers	1.61
destructeur	1.48
destructeurs	0.87
destructible	0.03
destructibles	0.03
destructif	0.16
destructifs	0.13
destruction	21.55
destructions	4.65
destructive	0.23
destructives	0.10
destructivité	0.06
destructrice	1.58
destructrices	0.32
destructurées	0.06
dette	6.13
dettes	7.00
deuil	15.87
deuilleurs	0.13
deuils	1.61
deuton	0.23
deutons	0.23
deutérium	0.45
deutéron	0.06
deutéronome	0.35
deutérons	0.03
deux	1500.03
deuxième	85.71
deuxièmement	1.10
deuxièmes	0.45
deuzio	0.10
devaient	51.06
devais	27.90
devait	207.55
devance	1.13
devancement	0.06
devancent	0.35
devancer	1.45
devancier	0.19
devanciers	1.81
devancière	0.19
devancières	0.16
devancèrent	0.06
devancé	1.16
devancée	0.23
devancés	0.19
devant	520.81
devantière	0.03
devants	1.52
devanture	2.84
devantures	1.68
devança	0.42
devançaient	0.19
devançais	0.03
devançait	0.35
devançant	1.03
devançât	0.06
devenaient	11.42
devenais	3.06
devenait	44.55
devenant	6.35
devenez	1.06
deveniez	0.19
devenions	0.48
devenir	88.45
devenirs	0.03
devenons	0.61
devenu	71.61
devenue	43.84
devenues	9.71
devenus	21.26
devers	1.10
devez	10.13
deviendra	5.97
deviendrai	0.90
deviendraient	1.32
deviendrais	1.13
deviendrait	6.71
deviendras	0.48
deviendrez	0.23
deviendriez	0.10
deviendrions	0.06
deviendrons	0.26
deviendront	2.52
devienne	6.71
deviennent	25.35
deviennes	0.39
deviens	5.39
devient	93.03
deviez	1.42
devin	1.65
devina	2.52
devinai	1.19
devinaient	0.84
devinais	3.29
devinait	9.77
devinant	0.97
devine	13.97
devinent	0.74
deviner	15.81
devinera	0.16
devinerai	0.10
devinerais	0.13
devinerait	0.26
devineresse	0.10
devineresses	0.10
devinerez	0.13
devineriez	0.10
devinerons	0.03
devineront	0.03
devines	0.61
devinette	1.00
devinettes	1.13
devinez	1.65
devinions	0.39
devinons	0.45
devinrent	4.74
devins	1.94
devinsse	0.10
devinssent	0.19
devinsses	0.03
devint	27.39
devinâmes	0.03
devinât	0.23
devinèrent	0.10
deviné	9.10
devinée	0.90
devinées	0.19
devinés	0.19
devions	5.74
